Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed
2024,Michigan St.,66.3965,288,65.1871,305,109.535,93,113.763,57,99.3536,36,93.7282,8,20.0344,18,9
2024,Middle Tennessee,66.5181,280,65.4296,295,94.7268,343,98.0758,311,105.129,186,106.869,191,-8.79313,282,
2024,Milwaukee,70.5162,68,70.0439,51,109.857,87,107.886,144,110.742,310,112.509,315,-4.62309,224,
2024,Minnesota,67.6853,227,66.5385,240,110.819,65,114.039,49,105.923,207,103.879,128,10.1595,78,
2024,Mississippi,68.5871,165,66.8405,218,109.234,99,113.964,53,107.724,250,104.651,142,9.31301,87,
2024,Mississippi St.,68.9135,148,67.0611,201,108.092,118,113.66,60,100.016,55,95.6804,20,17.9796,30,8
2024,Mississippi Valley St.,66.2355,298,64.5793,326,83.2947,362,85.2889,362,117.21,359,116.553,353,-31.2638,362,
2024,Missouri,68.4553,178,66.5763,238,104.992,185,108.451,137,110.737,309,106.774,184,1.67729,150,
2024,Missouri St.,68.4667,175,67.7204,157,102.483,245,104.532,212,102.828,115,102.875,111,1.65704,151,
2024,Monmouth,68.1049,201,67.7366,156,106.112,158,105.747,187,106.721,222,108.51,222,-2.7636,196,
2024,Montana,66.5037,282,66.2343,252,112.934,38,111.669,82,108.079,255,110.718,267,0.951263,158,
2024,Montana St.,69.242,126,68.7924,96,105.019,184,103.308,234,105.726,200,107.21,198,-3.90131,213,16
2024,Morehead St.,65.7279,318,64.2339,335,110.583,72,108.991,124,99.5625,44,103.522,120,5.46886,111,14
2024,Morgan St.,71.1167,52,70.7197,35,97.1374,319,97.3971,318,111.818,326,114.229,339,-16.8317,332,
2024,Mount St. Mary's,69.3752,118,69.0068,89,103.471,219,102.53,246,102.302,106,108.527,224,-5.99704,249,
2024,Murray St.,65.2346,337,64.3255,333,105.345,174,107.492,150,107.097,234,106.838,188,0.654669,162,
2024,N.C. State,68.9,149,68.0591,138,109.748,90,114.386,47,104.556,169,101.33,89,13.0559,58,11
2024,Navy,65.4328,328,65.4444,293,99.4915,289,96.8667,325,103.049,122,110.985,276,-14.1184,323,
2024,Nebraska,69.2526,125,68.6089,103,110.955,63,115.868,36,100.262,60,97.6758,30,18.1917,28,8
2024,Nebraska Omaha,67.5068,241,67.2826,186,106.235,153,104.095,217,109.377,281,110.972,275,-6.87755,257,
2024,Nevada,67.0332,266,66.6261,235,112.969,37,115.582,40,100.085,57,98.7643,36,16.818,36,10
2024,New Hampshire,72.9443,17,71.3032,24,99.6241,286,100.006,288,102.858,116,105.86,170,-5.85359,245,
